created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Jun 08 02:13:56 +0000 2023;1666629602146484224;"As the shock wears off and reality sets in, a single word of whistleblower David Grusch’s story is percolating to the top:   “Bodies”  I am reminded of @LueElizondo response when asked to sum up how he thought people would react when the truth is disclosed:  “Somber”  #ufotwitter https://t.co/s9rMiY78FE";3;112;50;471;en;43461540;1666629602146484224;Robin081564;https://twitter.com/Robin081564/status/1666629602146484224
Thu Jun 08 02:09:44 +0000 2023;1666628547577016320;"Jim Shell, former Chief Scientist for Air Force Space Command vouches for David Grusch on LinkedIN! Fantastic find by @ChrisUKSharp https://t.co/Dv7IlgJpCn";8;26;141;578;en;1516380631495704581;1666628547577016320;PaulisObjective;https://twitter.com/PaulisObjective/status/1666628547577016320
Wed Jun 07 23:44:14 +0000 2023;1666591928295776258;"A great explainer from @LiberationTimes on why what the @DeptofDefense spokeswoman Susan Gough said about David Grusch's #UAP allegations was grossly misreported. @DoD_AARO does not speak for the entire DoD. Its lack of knowledge about NHI was NOT a blanket denial for DoD at all.";2;31;75;436;en;2346524875;1666591928295776258;rosscoulthart;https://twitter.com/rosscoulthart/status/1666591928295776258
Wed Jun 07 21:53:17 +0000 2023;1666564007728218114;"🚨🚨🚨 David Grusch will be on NewsNation again tonight.   (#UFOTwitter #UFO #UFOs #UFOSightings #UAPTwitter #UAPs #UAP) https://t.co/kjoE524Gwd";3;11;36;268;en;1374741331931717639;1666564007728218114;528vibes;https://twitter.com/528vibes/status/1666564007728218114
Wed Jun 07 20:46:27 +0000 2023;1666547189680836609;"David Grusch: "They might be extraterrestrial or something else, but they're not human."  Take a moment and consider the ontological nature of that statement.  It's a whole new ballgame, entirely new paradigms. Some might say, it's the next step in the development of our species.… https://t.co/gVgfAeNgsX";5;53;88;538;en;1449570612;1666547189680836609;planethunter56;https://twitter.com/planethunter56/status/1666547189680836609
Wed Jun 07 20:43:01 +0000 2023;1666546323468832768;"https://t.co/XdaaYwMH5K  Interview of David GRUSCH  💥💥💥  Today in Le Parisien French mainstream media   Here some very interesting quotes translated in English : https://t.co/lCdABqcMfv";15;32;103;285;en;753376195245400064;1666546323468832768;Akam1129;https://twitter.com/Akam1129/status/1666546323468832768
Wed Jun 07 20:34:09 +0000 2023;1666544093017649154;"Former NRO official David Grusch:  “The analyses carried out have provided proof that these were non-human objects, particularly those discovered ninety years ago. The programs I'm talking about were dedicated to reverse engineering.”  #ufotwitter #UFOs  https://t.co/r44HLKw4jA";4;14;60;316;en;4874646887;1666544093017649154;tinyklaus;https://twitter.com/tinyklaus/status/1666544093017649154
Wed Jun 07 20:28:04 +0000 2023;1666542562835038208;"UFO whistleblower David Grusch in the new Le Parisien article:  "My degree is in physics. The mechanical and experimental data shows that it's not human. It could be extraterrestrial, or it could be something else, coming from other dimensions as described by quantum mechanics. I… https://t.co/SBiB5O745p";44;126;287;1403;en;1449570612;1666542562835038208;planethunter56;https://twitter.com/planethunter56/status/1666542562835038208
Wed Jun 07 20:09:37 +0000 2023;1666537920893796352;"Whistleblower David Grusch described an Italian UFO recovery in 1933, perhaps resulting in this telegram from Mussolini’s Director of Special Affairs.  “On the personal order of [Mussolini], no mention is to be made of the alleged landing of an unknown aircraft on national soil.” https://t.co/v3I3RnXQcq";13;39;139;667;en;4874646887;1666537920893796352;tinyklaus;https://twitter.com/tinyklaus/status/1666537920893796352
Wed Jun 07 20:01:22 +0000 2023;1666535842716721153;"I can't yet vouch for the veracity of this quote, but a reported new quote from UFO whistleblower David Grusch. Pretty wild if he said it.";5;63;92;611;en;2159970638;1666535842716721153;PostDisclosure;https://twitter.com/PostDisclosure/status/1666535842716721153
Wed Jun 07 19:55:31 +0000 2023;1666534370424033283;"About UAP whistleblower Mr. David Grusch... it would be reckless to NOT take his accusations seriously and investigate them. He provided a CLASSIFIED reprisal complaint, using the proper methods of submission - and he did so under oath. The Inspector General of the Intelligence… https://t.co/hN4vxRzjhV";28;162;319;1915;en;15106024;1666534370424033283;JeremyCorbell;https://twitter.com/JeremyCorbell/status/1666534370424033283
Wed Jun 07 19:23:39 +0000 2023;1666526352093364226;"UFO "whistleblower" David Grusch is apparently also talking about a bell-shaped UFO recovered by Mussolini in 1933.  The "Nazi Bell" is a paranormal craft that Hitler supposedly created that could also maybe time travel.  Grusch went 0 to Nazi UFOs quite fast.  @NewsNation https://t.co/242Sp8k4hA";49;207;81;477;en;20652877;1666526352093364226;MiddleOfMayhem;https://twitter.com/MiddleOfMayhem/status/1666526352093364226
Wed Jun 07 18:36:49 +0000 2023;1666514564819697664;"Let me get this straight, John Greenwald is upset because @lesliekean, @ralphblu and @Debriefmedia strictly limited the scope of what was published to information that could be verified through documentation and secondary, independent sources - That David Grusch had filed an";7;61;61;473;en;783206614207782912;1666514564819697664;LtTimMcMillan;https://twitter.com/LtTimMcMillan/status/1666514564819697664
Wed Jun 07 17:34:42 +0000 2023;1666498934574039040;"Members of the Press:  Pentagon Spokeswoman Susan Gough will engage in a full-blown disinformation campaign to disparage Pentagon whistleblower David Grusch in the coming days.  She will distract you with DOPSR, and AARO &amp  question his credibility. #ufotwitter #uaptwitter #uaps… https://t.co/v05I82Jmr1";13;51;236;550;en;1280454331410440192;1666498934574039040;StandForBetter;https://twitter.com/StandForBetter/status/1666498934574039040
Wed Jun 07 16:59:34 +0000 2023;1666490092335292416;"@marcorubio Thanks @marcorubio but the public wants open hearings on what many consider is the biggest story of our time not more political bickering. Can we follow all leads from David Grusch and make it public please Senator. We have a right to know. 🙏🏼";5;29;78;782;en;52962264;1666222782470864896;jamescfox;https://twitter.com/jamescfox/status/1666490092335292416
Wed Jun 07 16:24:46 +0000 2023;1666481334292733960;"It's been over 48 hours since the David Grusch story broke and nobody has been able to discredit him, even though he has said some extremely wild things so far.  I just want to list some arguments I've seen people use to question him or shed some doubt on the story, which is a… https://t.co/OhsFNMk0YH";11;165;111;851;en;21799800;1666481334292733960;MikeColangelo;https://twitter.com/MikeColangelo/status/1666481334292733960
Wed Jun 07 16:11:41 +0000 2023;1666478040811962369;"David Grusch in an interview with French media confirms the 1933 Mussolini UFO recovery story. #ufotwitter https://t.co/b4kjMQIm72";34;56;140;513;en;1498182281290305539;1666478040811962369;sigmawhalegrind;https://twitter.com/sigmawhalegrind/status/1666478040811962369
Wed Jun 07 16:10:11 +0000 2023;1666477665652465665;"Let's get some opinion polls going here because let's be honest this is a big deal, it doesn't matter which way it goes, it's still a really significant situation, so...  How do you feel about David Grusch? https://t.co/QDYpHTIhfF";15;501;42;723;en;1141855591104753672;1666477665652465665;TheProjectUnity;https://twitter.com/TheProjectUnity/status/1666477665652465665
Wed Jun 07 15:16:06 +0000 2023;1666464054867554306;"A former US intelligence official, David Charles Grusch, has given Congress classified information about intact and partially intact craft of non-human origin. Other intelligence officials are claimed to also have corroborating information. https://t.co/htyIeyFDgV";73;189;402;2851;en;18927441;1666464054867554306;IGN;https://twitter.com/IGN/status/1666464054867554306
Wed Jun 07 15:14:51 +0000 2023;1666463738298355716;"Whistleblower alleges US military is hiding UFO retrieval program  8 minute talk on Fox News about the David Grusch story.  Shout out to the lady who called Bob Lazar "Bob Laser" 😂🤣  #ufotwitter #uaptwitter #ufos #ufo #uap https://t.co/nEBN94sfFj";13;104;102;560;en;21799800;1666463738298355716;MikeColangelo;https://twitter.com/MikeColangelo/status/1666463738298355716
Wed Jun 07 14:55:28 +0000 2023;1666458862579269632;"Why do I trust David GRUSH?  1) His credentials are truly impressive and many know and support him including people I know well.  2) unlike most, his testimony to intelligence community inspector general and to Congress intelligence committees was given UNDER OATH and penalty of…";8;31;71;403;en;15263493;1666458862579269632;BobMcGwier_N4HY;https://twitter.com/BobMcGwier_N4HY/status/1666458862579269632
Wed Jun 07 14:54:44 +0000 2023;1666458678373826561;"It's always all about Greer. Messiah complex on full display. Please be mindful when seeing this kind of attention seeking and messaging.  Take an honest look at David Charles Grusch's credentials and ask yourself  Does this man need Steven Greer's assistance?   Absolutely not.";1;66;30;308;en;1025283253593358336;1666458678373826561;EngagingThe;https://twitter.com/EngagingThe/status/1666458678373826561
Wed Jun 07 14:50:37 +0000 2023;1666457640988299265;"Jeremy Corbell on Fox News discussing UFO whistleblower David Grusch.  “These are accusations of a cover-up… that we have been holding non-terrestrial materials and working on back engineering them.”  #ufotwitter #ufo #uap https://t.co/XqNZEOUQCK";16;90;267;1054;en;1408270506894188545;1666457640988299265;UAPJames;https://twitter.com/UAPJames/status/1666457640988299265
Wed Jun 07 13:17:50 +0000 2023;1666434291398500356;"News sources covering  David Grusch so far:  News Nation, Fox News, MSN, Vice, The Independent, Newsweek, NBC, New York Magazine, Newsmax, Huffington Post, The Guardian, Yahoo News, Daily Mail, New York Post, Drudge Report, New York Sun, RT News, Daily Beast, Infowars, Breitbart,…";7;64;88;517;en;1141855591104753672;1666434291398500356;TheProjectUnity;https://twitter.com/TheProjectUnity/status/1666434291398500356
Wed Jun 07 12:15:47 +0000 2023;1666418674612281346;"The evidence coming out on UAPs (UFOs) is overwhelming. I hope we know the truth sooner than later, it would change *everything*.   David Grusch - career Air Force veteran, highly decorated, and intel officer:  “The non-human intelligence phenomenon is real. We are not alone”…";6;69;15;214;en;57629490;1666418674612281346;HackingDave;https://twitter.com/HackingDave/status/1666418674612281346
Wed Jun 07 11:23:44 +0000 2023;1666405578082484232;"Has the UAP phenomenon been kept secret for the last 75 years? Or for the last 90 years, as hinted by Bryce Zabel in the upcoming interview of Ross Coulthart with the recent UAP whistleblower David Grusch? Or is the gatekeeping ancient?  I just can't understand why we ignore what… https://t.co/lU9YV9mr0D";19;105;181;1017;en;791620697726615554;1666405578082484232;OMApproach;https://twitter.com/OMApproach/status/1666405578082484232
Wed Jun 07 09:44:30 +0000 2023;1666380605687500800;"As @MattWalshShow eloquently explains, the UAP allegations of David Grusch should not be dismissed simply because they might make some people uncomfortable. They deserve investigation. If he’s lied to the IGIC under oath, he’s risking jail.";16;113;227;1266;en;2346524875;1666380605687500800;rosscoulthart;https://twitter.com/rosscoulthart/status/1666380605687500800
Wed Jun 07 06:53:20 +0000 2023;1666337528092438529;"This UK @Telegraph story makes the very important point that a serving National Air and Space Intelligence Center (NASIC) officer also backs David Grusch claims on @NewsNation of non-human spacecraft secretly held by the US.  "We are not alone," he says:  https://t.co/TK2FuzCGgv";22;69;351;1530;en;2346524875;1666337528092438529;rosscoulthart;https://twitter.com/rosscoulthart/status/1666337528092438529
Wed Jun 07 06:39:32 +0000 2023;1666334057267974145;"🔥🔥 The real bombs in the David Grusch #UAP #UFO revelations have not been dropped yet...  Watch the 1hr interview this Sunday on @NewsNation   #ufotwitter https://t.co/BAYQlwAzz1";11;57;176;1094;en;1015582776693870592;1666334057267974145;IWANTTOKNOWUK;https://twitter.com/IWANTTOKNOWUK/status/1666334057267974145
Wed Jun 07 06:12:50 +0000 2023;1666327336315240452;"USA  National Geospatial Intelligence Agency (NGA) and also  at the National Reconnaissance Office (NRO)  senior manager  David Charles GRUSCH  On 4-6 April 2023  Claimed to have captured a UFO with no existence on record. https://t.co/VEMysywQLO";23;195;210;819;en;1476323517046140931;1666327336315240452;ronin19217435;https://twitter.com/ronin19217435/status/1666327336315240452
Wed Jun 07 04:30:14 +0000 2023;1666301515626328064;"Well, while I wish I looked as tan and as HD as Chris Cuomo on @NewsNation, it was a good exchange. Short and sweet, but with a chance for me to call David Grusch what he is — an American hero.   Here's the clip:  https://t.co/EwXtWRixYz  The one-hour special with extended clips… https://t.co/pig4T8qJhZ";6;53;134;888;en;170403375;1666301515626328064;hollywoodufos;https://twitter.com/hollywoodufos/status/1666301515626328064
Wed Jun 07 03:29:39 +0000 2023;1666286269314519040;"Here's an early look at the @NewNation promo that's just been released about @RossCoulthart's powerful and compelling interview with whistleblower David Grusch.   Watch it here: https://t.co/haiRfR3ytp  That's Sunday, June 11, News Nation, 9pm ET. https://t.co/axEt1i7Tm3";7;26;106;458;en;53969796;1666286269314519040;Coulthart_Zabel;https://twitter.com/Coulthart_Zabel/status/1666286269314519040
Wed Jun 07 03:06:09 +0000 2023;1666280354427326464;"As @ddeanjohnson correctly observes, staffers from HPSCI have extensively interviewed David Grusch on #UAPs.  ... 'None so blind as those who will not see.'";0;45;51;413;en;2346524875;1666280354427326464;rosscoulthart;https://twitter.com/rosscoulthart/status/1666280354427326464
Wed Jun 07 02:32:25 +0000 2023;1666271865885855750;"With no disrespect intended to the honorable Reps quoted below, neither of them were in the room when #UAP whistleblower David Grusch gave his testimony to the House Intelligence Committee. They should ask the HIC staffers what THEY know. A full transcript is available.";12;117;159;953;en;2346524875;1666271865885855750;rosscoulthart;https://twitter.com/rosscoulthart/status/1666271865885855750
Wed Jun 07 01:03:01 +0000 2023;1666249368184258561;""US government has possession of "intact and partially intact" alien vehicles": Former  intelligence official  Read @ANI Story | https://t.co/DsXohPcQff #DavidGrusch #USA #UFO #Alien https://t.co/klv4dwX0Kv";6;14;70;708;en;817976607398731776;1666249368184258561;ani_digital;https://twitter.com/ani_digital/status/1666249368184258561
Wed Jun 07 01:02:38 +0000 2023;1666249270096273409;"Bryce Zabel: UFO whistleblower’s actions ‘heroic’  Hot off the press, new interview with Bryce Zabel talking about David Grusch.   #ufotwitter #uaptwitter #UFO #UFOs https://t.co/lNRjgqZKQ9";4;10;67;293;en;21799800;1666249270096273409;MikeColangelo;https://twitter.com/MikeColangelo/status/1666249270096273409
Wed Jun 07 00:51:21 +0000 2023;1666246434004533248;"BREAKING STORY:  Tucker Carlson comments on UFO Whistleblower David Grusch #ufotwitter https://t.co/cSM1DMvEXb";26;71;203;851;en;15608181;1666246434004533248;thomaslfessler;https://twitter.com/thomaslfessler/status/1666246434004533248
Tue Jun 06 23:30:00 +0000 2023;1666225961514450944;"BREAKING NEWS:  Day #2 of News Nation covering UFO Whistleblower David Grusch.  #ufotwitter https://t.co/WSbfIIxjKH";17;22;102;362;en;15608181;1666225961514450944;thomaslfessler;https://twitter.com/thomaslfessler/status/1666225961514450944
Tue Jun 06 23:12:30 +0000 2023;1666221555154833408;"Glad to see @NewsNation coving this emerging UAP news regarding David Grusch and his accusations.  @G_Knapp 👀  #UAPtransparency https://t.co/LNewOBxi2T";12;91;195;1304;en;15106024;1666221555154833408;JeremyCorbell;https://twitter.com/JeremyCorbell/status/1666221555154833408
Tue Jun 06 22:55:03 +0000 2023;1666217165513691137;"I regard this as the most important interview I have ever recorded. What David Grusch will reveal on @NewsNation this Sunday 9p/8c is shocking and demands action from Congress:  WE ARE NOT ALONE https://t.co/Sk5bxDK1qg via @YouTube.";75;234;731;3170;en;2346524875;1666217165513691137;rosscoulthart;https://twitter.com/rosscoulthart/status/1666217165513691137
Tue Jun 06 22:45:03 +0000 2023;1666214649275224064;"I can now announce that my extended interview with #UAP whistleblower David Grusch will air on News Nation @NewsNation Sunday 9p/8c. Watch this world exclusive TV interview from the fmr senior intelligence insider. https://t.co/lE9GPPEsGy";54;195;644;3019;en;2346524875;1666214649275224064;rosscoulthart;https://twitter.com/rosscoulthart/status/1666214649275224064
Tue Jun 06 22:38:55 +0000 2023;1666213103334203393;"Congressman Mike Turner on UFO whistleblower David Grusch’s claim that the U.S. has “spacecraft from another species”  “There’s no evidence of this and certainly it would be quite a conspiracy for this to be able to be maintained, especially at this level.”  #ufotwitter #ufo #uap https://t.co/KWx1uiLGax";70;349;191;793;en;1408270506894188545;1666213103334203393;UAPJames;https://twitter.com/UAPJames/status/1666213103334203393
Tue Jun 06 22:34:33 +0000 2023;1666212004472709162;"Tucker Carlson discusses David Grusch’s revelations about a UFO Crash Retrieval Program. 🔥 🔥 🔥   “The story of the millennium” https://t.co/yiBP5pgIKO";21;31;145;551;en;4639346117;1666212004472709162;HighPeaks77;https://twitter.com/HighPeaks77/status/1666212004472709162
Tue Jun 06 22:19:57 +0000 2023;1666208332393111580;"EXPLOSIVE  #DavidGrusch, the Air Force veteran and former member of the National Geospatial-Intelligence Agency who turned UFO Whistleblower, is speaking again. Yesterday he confirmed the US government has recovered numerous Non-Human (NHI) vehicles and bodies.  The 90-year… https://t.co/cjgPNaelfv";56;113;342;1073;en;1395413118621151233;1666208332393111580;HighlyRetired;https://twitter.com/HighlyRetired/status/1666208332393111580
Tue Jun 06 22:09:48 +0000 2023;1666205778640789541;"David Grusch interview - Sunday 9p/8c on @NewsNation #ufotwitter #uaptwitter g https://t.co/NkUUV8MUU6";4;17;98;344;en;1373024158045585410;1666205778640789541;disclosureteam_;https://twitter.com/disclosureteam_/status/1666205778640789541
Tue Jun 06 20:39:37 +0000 2023;1666183081596977152;"Sure hope President Biden is demanding a briefing on David Grusch’s #UAP allegations. Does the White House actually know what’s going on in the US @DeptofDefense’s secret crash retrieval program. Why can’t she answer the simple Q?";18;275;282;1525;en;2346524875;1666183081596977152;rosscoulthart;https://twitter.com/rosscoulthart/status/1666183081596977152
Tue Jun 06 19:36:21 +0000 2023;1666167158899109889;"Ryan Graves on Breaking Points with @esaagar re David Grusch and Americans for Safe Aerospace.  #ufotwitter @uncertainvector https://t.co/tkLXu7bFhL";2;13;89;372;en;1626403417332809728;1666167158899109889;SafeAerospace;https://twitter.com/SafeAerospace/status/1666167158899109889
